"days","fraction_in_icu"
1,1.0
2,1.0
3,1.0
4,0.956521739130435
5,0.956521739130435
6,0.956521739130435
7,0.91304347826087
8,0.91304347826087
9,0.782608695652174
10,0.695652173913043
11,0.565217391304348
12,0.478260869565217
13,0.478260869565217
14,0.478260869565217
15,0.434782608695652
16,0.347826086956522
17,0.260869565217391
18,0.260869565217391
19,0.217391304347826
20,0.217391304347826
21,0.173913043478261
22,0.173913043478261
23,0.173913043478261
24,0.173913043478261
25,0.173913043478261
26,0.173913043478261
27,0.173913043478261
28,0.173913043478261
29,0.130434782608696
30,0.0
